File Name,Attribute,Delimiter,Data Type,Related Values,Documented Data Description,Screen ID,Fld,Screen Title,PADP Label,Field Label,Validation File,PADP Table,PADP Column,Personally Identifiable Information,File Notes,,,,,
ADM.ADDRESS.HIST,0.0,,X,,"Patient Number or Patient Number:""-"":Admission No
File note: This file is not in use in QLD",ADM2.S387,1,Patient Admission ,Patient Number,Patient Number,,adm_address_hist,,,,,,,,
ADM.ADDRESS.HIST,1.0,,A,M,Date stamp ,ADM2.S387,,Patient Admission ,Filed,Filed,OPERATORS,adm_address_hist,filed,,,,,,,
ADM.ADDRESS.HIST,2.0,,X,M1,Address Type ,,,,Address Type ,Address Type ,HOSP.ADDRESS.TYPE,adm_address_hist,address_type,,,,,,,
ADM.ADDRESS.HIST,3.0,,X,M1,Address line 1 ,,,,Address line 1 ,Address line 1 ,,adm_address_hist,address_line_1,,,,,,,
ADM.ADDRESS.HIST,4.0,,X,M1,Address Line 2 ,,,,Address Line 2 ,Address Line 2 ,,adm_address_hist,address_line_2,,,,,,,
ADM.ADDRESS.HIST,5.0,,X,M1,Suburb ,,,,Suburb ,Suburb ,SUBURBS,adm_address_hist,suburb,,,,,,,
ADM.ADDRESS.HIST,6.0,,X,M1,Post Code ,,,,Post Code ,Post Code ,,adm_address_hist,post_code,,,,,,,
ADM.ADDRESS.HIST,7.0,,X,M1,Home Phone ,,,,Home Phone ,Home Phone ,,adm_address_hist,home_phone,,,,,,,
ADM.ADDRESS.HIST,8.0,,X,M1,Business Phone ,,,,Business Phone ,Business Phone ,,adm_address_hist,business_phone,,,,,,,
ADM.ADDRESS.HIST,9.0,,X,M1,Mobile Phone ,,,,Mobile Phone ,Mobile Phone ,,adm_address_hist,mobile_phone,,,,,,,
ADM.ADDRESS.HIST,10.0,,X,,Overseas country of residence ,,,,Overseas country of residence ,Overseas country of residence ,COUNTRY,adm_address_hist,overseas_country_of_residence,,,,,,,
ADM.ADVISED.BY,0.0,,X,,Advised By Code,ADM2.S721,1,Advised By Codes,Advised By Code,Advised By Code,,adm_advised_by,,,Reference File,B,,,,
ADM.ADVISED.BY,1.0,,A,M,Update Stamp ,ADM2.S721,,Advised By Codes,Filed,Filed,OPERATORS,adm_advised_by,filed,,Reference File,,,,,
ADM.ADVISED.BY,2.0,,X,,Description ,ADM2.S721,2,Advised By Codes,Description,Description,,adm_advised_by,description,,Reference File,,,,,
ADM.ADVISED.BY,3.0,,D,,Start Date ,ADM2.S721,4,Advised By Codes,Start Date,Start Date,,adm_advised_by,start_date,,Reference File,,,,,
ADM.ADVISED.BY,4.0,,D,,End Date ,ADM2.S721,5,Advised By Codes,End Date,End Date,,adm_advised_by,end_date,,Reference File,,,,,
ADM.ADVISED.BY,5.0,,X,,Mapped to Verified Code,ADM2.S721,3,Advised By Codes,Mapped to Verified Code,Mapped to Verified Code,ADM.DVERIFIED,adm_advised_by,mapped_to_verified_code,,Reference File,,,,,
ADM.ASSOC.DOCTORS,0.0,,X,,Admission episode,ADM2.S800,1,Associated Doctors Entry,Patient Number,Patient Number,,adm_assoc_doctors,,,,,,,,
ADM.ASSOC.DOCTORS,1.0,,A,M,Operator date/time stamp ,ADM2.S800,,Associated Doctors Entry,Filed,Filed,OPERATORS,adm_assoc_doctors,filed,,,,,,,
ADM.ASSOC.DOCTORS,2.0,,X,M1,Unit code ,ADM2.S800,2,Associated Doctors Entry,Unit,Unit,UNITS,adm_assoc_doctors,unit,,,,,,,
ADM.ASSOC.DOCTORS,3.0,,X,M1,Doctor Code ,ADM2.S800,3,Associated Doctors Entry,Associated Dr,Associated Dr,DOCTORS,adm_assoc_doctors,associated_dr,,,,,,,
ADM.ASSOC.DOCTORS,4.0,,D,M1,Start date ,ADM2.S800,4,Associated Doctors Entry,Start Date,Start Date,,adm_assoc_doctors,start_date,,,,,,,
ADM.ASSOC.DOCTORS,5.0,,T,M1,Start time ,ADM2.S800,5,Associated Doctors Entry,Start Time,Start Time,,adm_assoc_doctors,start_time,,,,,,,
ADM.ASSOC.DOCTORS,6.0,,D,M1,End date ,ADM2.S800,6,Associated Doctors Entry,End Date,End Date,,adm_assoc_doctors,end_date,,,,,,,
ADM.ASSOC.DOCTORS,7.0,,T,M1,End time ,ADM2.S800,7,Associated Doctors Entry,End Time,End Time,,adm_assoc_doctors,end_time,,,,,,,
ADM.BED.CONTROL,0.1,:,X,,Ward,HOSP2.S1,1,Ward Codes,Ward Code,Ward Code,,adm_bed_control,,,,,,,,
ADM.BED.CONTROL,0.2,:,X,,Bed.no,HOSP2.S1,20,Ward Codes,Bed Code,Bed Code,,adm_bed_control,,,,,,,,
ADM.BED.CONTROL,1.0,,X,M,Patient Number (ADM2) (MV as per code),ADM2.S387,1,Patient Admission,Patient Number,Patient Number,PATIENTS,adm_bed_control,patient_number,,,,,,,
ADM.BED.CONTROL,2.0,,D,M,Bed Occupancy Start Date (ADM2) (MV as per code),ADM2.S387,75,Patient Admission,Bed Occupied Start Date,Bed Occupied Start Date,,adm_bed_control,bed_occupied_start_date,,,,,,,
ADM.BED.CONTROL,3.0,,T,M,"Bed Occupancy Start Time (ADM2)  (MV as per code)
Start time will be either populated on admissions with admission time or auto populate with 10:00:00 (default back-end parameter setting) when a Patient Bed Swap occurs. If auto populated by patient movement, this will not reflect on the Patient Transfer screen, which will use the filed time as the bed time.",ADM2.S387,76,Patient Admission,Bed Occupied Start Time,Bed Occupied Start Time,,adm_bed_control,bed_occupied_start_time,,,,,,,
ADM.BED.CONTROL,4.0,,N,M,Bed Status(ADM2.7) 1-3(not used). 4=Occupied 5=Temp.Leave (<24 hrs) 6=Leave (>24 hrs) 7=Vacant 8=Closed 9=Leave(Contract) (MV as per code),,,,Bed Status,Bed Status,,adm_bed_control,bed_status,,,,,,,
ADM.BED.CONTROL,5.0,,D,M,Bed Occupancy End Date (ADM2) (MV as per code),ADM2.S387,78,Patient Admission,Exp. Dis. Date,Exp. Dis. Date,,adm_bed_control,exp_dis_date,,,,,,,
ADM.BED.CONTROL,6.0,,T,M,Bed Occupancy End Time (ADM2) Auto-populates with 10:00:00 (MV as per code),,,,Exp. Dis. Time,Exp. Dis. Time,,adm_bed_control,exp_dis_time,,,,,,,
ADM.BED.CONTROL,7.0,,X,,Reserved by ,,,,Reserved by,Reserved by,ADMISSIONS,adm_bed_control,reserved_by,,,,,,,
ADM.BED.CONTROL.ADT,0.0,,X,,"Sequential number
Note: this file is an audit of ADM.BED.CONTROL records that have been deleted or purged",,,,Sequential number,Sequential number,,adm_bed_control_adt,,,,,,,,
ADM.BED.CONTROL.ADT,1.0,,X,,Ward:Bed.no ,,,,Ward:Bed No,Ward:Bed No,ADM.BED.CONTROL,adm_bed_control_adt,ward_bed_no,,,,,,,
